block_height,elapsed_time
1,5.598576259s
2,2.002924818s
3,11.089451837s
4,1.952394947s
5,16.838094863s
6,675.858062ms
7,4.616689003s
8,4.942790049s
9,12.768006254s
10,3.164074387s
11,20.10984589s
12,7.189538546s
13,23.913809968s
14,16.86076832s
15,672.860566ms
16,6.942449109s
17,1.796826856s
18,188.318129ms
19,3.45109296s
20,1.404752973s
21,350.442435ms
22,9.898503886s
23,16.324320698s
24,3.743581074s
25,5.520965251s
26,9.989442009s
27,10.347415754s
28,4.343345277s
29,3.801038218s
30,23.607686056s
31,28.581229066s
32,7.449038002s
33,12.392442129s
34,13.384250069s
35,20.482841433s
36,4.549835139s
37,13.495343896s
38,16.632208673s
39,5.008905002s
40,33.530677018s
41,4.207439188s
42,12.630038942s
43,7.083940566s
44,7.386560182s
45,14.907361s
46,2.354475342s
47,10.72681342s
48,38.209967798s
49,5.214513911s
50,2.534425082s
51,2.420204837s
52,2.762311638s
53,2.780772459s
54,41.165535264s
55,2.541510718s
56,15.507347981s
57,4.623406635s
58,14.546189843s
59,3.598802091s
60,53.41900607s
61,823.668728ms
62,5.843111003s
63,4.801888126s
64,23.514530724s
65,14.832927074s
66,10.004701454s
67,10.438769043s
68,1.019673907s
69,550.109511ms
70,941.565256ms
71,10.413328164s
72,15.912453995s
73,11.694995778s
74,859.063334ms
75,15.186635283s
76,319.62382ms
77,24.746658306s
78,7.145813543s
79,33.885228217s
80,3.681662516s
81,19.175720701s
82,2.219259621s
83,4.752574705s
84,8.282853924s
85,9.252794248s
86,2.306347456s
87,30.252307006s
88,7.973532778s
89,761.058674ms
90,14.415501947s
91,4.501551775s
92,2.77697506s
93,38.477096188s
94,3.060840729s
95,6.854845095s
96,905.014772ms
97,11.126844709s
98,489.287372ms
99,11.082234467s
100,5.487805877s
101,7.360297101s
102,578.537809ms
103,1.191573597s
104,7.636468964s
105,20.832866743s
106,3.777927815s
107,8.503032496s
108,1.854770003s
109,6.074011307s
110,8.595039334s
111,26.046869635s
112,28.91357441s
113,13.911525847s
114,1.851399346s
115,5.581748755s
116,12.498995154s
117,13.092357691s
118,6.879557005s
119,9.29281213s
120,1.506407148s
121,10.507739023s
122,38.273744763s
123,5.882497398s
124,20.59744139s
125,4.469607496s
126,25.782048932s
127,4.313860776s
128,6.172546535s
129,4.985045001s
130,10.594534106s
131,24.29937783s
132,730.1181ms
133,310.151924ms
134,3.188696432s
135,8.303513884s
136,21.123215426s
137,2.687944218s
138,33.39180643s
139,3.668556408s
140,8.428817726s
141,13.094576481s
142,17.89306131s
143,1.117561358s
144,2.445013081s
145,789.336764ms
146,12.31704791s
147,16.031560266s
148,3.160569169s
149,12.554983551s
150,32.061321322s
151,9.401396053s
152,11.517583811s
153,401.066385ms
154,189.628484ms
155,13.194572264s
156,13.310860489s
157,15.123601895s
158,5.402931799s
159,14.925137778s
160,26.464708863s
161,5.907892609s
162,4.544688745s
163,70.790005ms
164,1.828377969s
165,26.297640017s
166,11.646640316s
167,13.094401278s
168,3.612396563s
169,16.94725108s
170,2.031446807s
171,441.333923ms
172,46.946948221s
173,7.027563006s
174,11.204130081s
175,11.527849468s
176,27.745871339s
177,17.87577842s
178,5.77149351s
179,8.84431321s
180,49.505698799s
181,11.732027776s
182,8.340743617s
183,5.300089213s
184,3.853332949s
185,2.312019772s
186,2.078985857s
187,14.659430537s
188,20.40709765s
189,6.854610753s
190,2.38343619s
191,5.11474856s
192,17.287309391s
193,3.400833963s
194,2.968906838s
195,47.66513259s
196,4.851238881s
197,5.174696417s
198,14.633551253s
199,28.908505219s
200,4.460229365s
201,12.294348665s
202,4.566022542s
203,14.322716226s
204,11.831811384s
205,6.316316101s
206,1.820980601s
207,4.4939651s
208,4.203343328s
209,10.388634406s
210,8.854204608s
211,36.226958709s
212,5.639761314s
213,103.263023ms
214,9.900017124s
215,20.413446907s
216,6.942846154s
217,1.592204399s
218,7.552898888s
219,1.096282137s
220,25.545305902s
221,24.171412538s
222,10.327673996s
223,11.126583051s
