block_height,elapsed_time
1,7.316676514s
2,11.003843287s
3,4.328458786s
4,1.741165281s
5,4.053125197s
6,20.00539701s
7,44.973378685s
8,1.133278514s
9,28.369379577s
10,5.456660842s
11,17.522617357s
12,391.424429ms
13,11.671318779s
14,4.758576897s
15,15.012218919s
16,3.985192228s
17,7.597817772s
18,1m2.298253537s
19,43.891977546s
20,2.838281573s
21,599.351312ms
22,33.436355996s
23,9.474086033s
24,3.970293442s
25,40.225567172s
26,31.171342318s
27,2.04556716s
28,19.147933879s
29,7.422820475s
30,6.880478815s
31,927.006667ms
32,10.26477465s
33,10.378584605s
34,19.95440049s
35,1.979342157s
36,4.050892582s
37,2.078005846s
38,6.907318413s
39,8.005810626s
40,17.216535133s
41,146.32512ms
42,32.11699663s
43,13.414863507s
44,1.978213512s
45,9.377668537s
46,1.305091804s
47,12.914750132s
48,10.744546748s
49,7.913585216s
50,762.475675ms
51,14.77540672s
52,636.640863ms
53,1.616638345s
54,10.311851361s
55,3.3304354s
56,27.153807835s
57,7.283350589s
58,722.68539ms
59,21.543847667s
60,1.868043216s
61,5.116368939s
62,15.539318325s
63,512.336271ms
64,2.85238667s
65,12.595715747s
66,4.093553558s
67,24.964450963s
68,42.349049013s
69,11.095043469s
70,29.668146362s
71,41.334671958s
72,1.597155752s
73,17.331323019s
74,7.613779131s
75,7.363050798s
76,1.682684736s
77,36.429428447s
78,10.814231225s
79,9.120467681s
80,7.244227211s
81,31.497691903s
82,32.558160627s
83,9.495213718s
84,23.289478272s
85,13.154419136s
86,494.409677ms
87,13.57129886s
88,30.009719399s
89,11.685947331s
90,6.769691579s
91,22.137980247s
92,18.412028523s
93,2.33042192s
94,33.413065912s
95,11.121606317s
96,8.208615044s
97,18.274432764s
98,19.88717025s
99,8.539576971s
100,11.662798025s
101,20.982795803s
102,195.32093ms
103,2.067729296s
104,1.907687562s
105,9.185991354s
106,5.332466664s
107,13.722174675s
108,5.057800952s
109,3.531514236s
110,17.059589535s
111,1.252347583s
112,38.82908618s
113,11.603983682s
114,21.73911767s
115,2.636297563s
116,8.408376158s
117,5.675712095s
118,5.019943713s
119,9.527185227s
120,19.208496394s
121,3.855951747s
122,14.948267188s
123,4.275787762s
124,28.095230282s
125,5.278689214s
126,3.238370143s
127,8.514363936s
128,59.778485ms
129,5.424627485s
130,13.940664615s
131,28.911838234s
132,23.411672627s
133,14.430729236s
134,7.965859103s
135,19.499333289s
136,8.87621567s
137,513.658817ms
138,16.433584423s
139,9.116748509s
140,13.756059329s
141,13.958182155s
142,9.096788294s
143,6.189196137s
144,20.932269519s
145,11.551157129s
146,9.938293306s
147,15.960610545s
148,11.334022643s
149,557.192114ms
150,6.933837644s
151,4.286209482s
152,25.780107116s
153,272.382996ms
154,13.773761946s
155,7.246663399s
156,2.507680777s
157,30.44505959s
158,2.944204216s
159,6.812466202s
160,2.618937727s
161,6.90221236s
162,12.209927992s
163,7.133568218s
164,7.688283066s
165,15.521463133s
166,18.874228685s
167,354.902624ms
168,5.717572863s
169,7.787995637s
170,5.524160048s
171,3.678988167s
172,44.512941917s
173,1.546162073s
174,3.740434221s
175,1m35.259348894s
176,3.498283874s
177,9.565481887s
178,4.454016467s
179,17.443552836s
180,4.429418618s
181,40.925320602s
182,5.515145641s
183,10.062256829s
184,43.221826133s
185,15.271892749s
186,2.687244056s
187,2.687236018s
188,24.921911914s
189,714.456986ms
190,9.443262717s
191,379.682307ms
192,1.751544402s
193,4.907534909s
194,5.37098006s
195,17.418358145s
196,1.563587401s
197,356.930653ms
198,15.198115056s
199,3.484918574s
200,16.797398398s
201,9.601154585s
202,20.710419474s
203,12.349917586s
204,7.381176772s
205,39.241669084s
206,6.467240503s
207,5.478205076s
208,617.367306ms
209,1.647637465s
210,5.636383285s
211,1.087826192s
212,20.926315527s
213,9.432617192s
214,38.420018595s
215,8.371539242s
216,26.347859003s
217,9.093280211s
218,14.73215106s
219,18.618287112s
220,7.323157461s
221,1.599183675s
222,29.15885545s
223,352.271024ms
224,30.177291118s
225,34.169635471s
226,15.868328794s
227,2.348665521s
228,29.096633574s
229,38.042875598s
230,2.035872259s
231,9.997712271s
232,21.402938897s
233,1m4.42720243s
234,11.06603703s
235,1.409274896s
236,4.990291776s
237,2.646912157s
238,4.824665121s
239,18.457677371s
240,2.557819099s
241,20.503960028s
242,3.832440957s
243,11.155180343s
