block_height,elapsed_time
1,23.596956892s
2,1.89188967s
3,1m46.23571316s
4,3.266638964s
5,8.048209586s
6,32.965424745s
7,1m24.421379269s
8,40.58185585s
9,16.5256361s
10,14.677790647s
11,21.356427515s
12,16.987144329s
13,24.101710915s
14,13.221276657s
15,2.838066739s
16,24.99091532s
17,34.280033468s
18,1.601581857s
19,33.908354012s
20,4m7.20510773s
21,11.460490522s
22,1m16.719286602s
23,5m2.175935963s
24,35.936199835s
25,48.623074938s
26,2m34.360546263s
27,34.881658429s
28,42.974245781s
29,49.109875969s
30,52.874385737s
31,13.853882076s
32,39.428460795s
33,1m20.578340435s
34,15.298104065s
35,1m24.665234336s
36,14.817879171s
37,1m16.405530316s
38,48.250429693s
39,3m44.047885655s
40,8.250007799s
41,1m13.625490124s
42,48.564251345s
43,2m35.339547038s
44,43.02683273s
45,36.845210736s
46,2m0.542350545s
47,1.660803802s
48,38.19551374s
49,36.094520222s
50,1m34.306560128s
51,27.401331995s
52,27.331034411s
53,5.612529197s
54,2m15.82514252s
55,1m15.535188834s
56,16.602004976s
57,37.527762581s
58,35.530572606s
59,8.990591465s
60,2m40.4687058s
61,4m15.528244645s
62,1m22.486024526s
63,5m3.199599355s
64,9.244769744s
65,1m8.378473765s
66,3m27.927856212s
67,17.318740149s
68,1m23.978599592s
69,2.516012724s
70,1m39.845910371s
71,5.909106836s
72,2m21.647442498s
73,1m6.582813413s
74,48.548955923s
75,2m54.036524048s
76,41.245261799s
77,29.045392729s
78,8.845801537s
79,13.492731368s
80,1m28.601801442s
81,17.339094285s
82,2.111194168s
83,4m52.223669568s
84,1m22.228877902s
85,35.097658504s
86,3m29.604182955s
87,2.718991272s
88,15.525347545s
89,1m2.868893203s
90,17.523203429s
91,8.930372423s
92,144.823462ms
93,2m4.35794772s
94,19.990215976s
95,1m0.415267586s
96,25.554851989s
97,2m52.110332093s
98,1m35.803318399s
99,1m12.815028265s
100,1m0.467731727s
101,6.64217649s
102,57.974587688s
103,1m33.932643614s
104,1m34.227150193s
105,26.919845452s
106,22.040502602s
107,22.312318996s
108,1m4.453101668s
109,2m4.048893532s
110,3.710907553s
111,8.658573147s
112,12.669023736s
113,28.716859551s
114,2m21.161130401s
115,1m16.112122899s
116,1m30.899920972s
117,30.350116164s
118,1m15.31815865s
119,3m29.273556567s
120,6.454792174s
121,14.517120094s
122,961.389831ms
123,1m9.137139372s
124,3m35.949174875s
125,7.46895904s
126,16.439062612s
127,19.810179716s
128,28.640506884s
129,55.945096933s
130,1m56.796098389s
131,45.701763691s
132,404.802004ms
133,10.71270534s
134,42.992701979s
135,1m26.963911758s
136,7.879244395s
137,1m36.721757202s
138,1m6.300749126s
139,1.434968593s
140,39.312470822s
141,6.041043283s
142,41.741975539s
