block_height,elapsed_time
353,4.589795312s
354,3.477235732s
355,10.707573877s
356,24.522432973s
357,22.366524476s
358,16.134640299s
359,27.589183338s
360,33.060234298s
361,4.493057308s
362,320.555151ms
363,16.449293393s
364,6.027465157s
365,30.955022869s
366,18.185734021s
367,13.220028529s
368,7.683835223s
369,9.988710092s
370,5.596244306s
371,481.777093ms
372,50.200230931s
373,2.732382112s
374,1.005468087s
375,31.480201102s
376,11.958772929s
377,20.499712622s
378,2.576651669s
379,9.286332181s
380,8.738872162s
381,5.781032734s
382,5.931106097s
383,1.667296585s
384,23.793055001s
385,5.281389826s
386,3.594086731s
387,8.984327971s
388,6.842650821s
389,18.415338367s
390,4.273517168s
391,11.740676109s
392,29.934737667s
393,9.121369729s
394,12.071381335s
395,12.936569229s
396,2.430492251s
397,4.252094032s
398,3.304311825s
399,10.274826131s
400,12.170680907s
401,6.837820205s
402,267.7707ms
403,14.888727761s
404,36.453500227s
405,20.164669055s
406,18.395578101s
407,923.888099ms
408,1.858560922s
409,10.276297949s
410,5.33385016s
411,2.717915976s
412,539.543643ms
413,28.755634513s
414,14.300595039s
415,2.837324702s
416,2.193203159s
417,1.206330119s
418,15.937611375s
419,5.199015533s
420,1.956371613s
421,16.896481257s
422,1.188725091s
423,17.925024378s
424,16.182667983s
425,1.259262998s
426,294.769172ms
427,1.127478365s
428,43.114802232s
429,5.347612158s
430,24.408614283s
431,24.254103312s
432,7.73885856s
433,6.231086504s
434,872.713923ms
435,6.573463909s
436,16.715403821s
437,24.668367314s
438,797.430615ms
439,3.216829615s
440,32.802536647s
441,3.186409615s
442,23.761556327s
443,15.120427993s
444,10.269943345s
445,4.378256412s
446,3.870712464s
447,3.076127903s
448,749.965523ms
449,1.668182879s
450,9.982317561s
451,11.295098009s
452,4.734984271s
453,7.111685574s
454,3.272379907s
455,15.962456217s
456,12.159060984s
457,3.946929056s
458,6.578062969s
459,1.140833506s
460,32.347650746s
461,9.761064173s
462,16.475973986s
463,3.631092826s
464,225.68144ms
465,251.863013ms
466,18.868916735s
467,11.486496057s
468,14.595825406s
469,25.492243867s
470,6.896830831s
471,6.805923744s
472,7.697966045s
473,3.084579822s
474,381.964093ms
475,14.462984031s
476,20.984761647s
477,8.691034714s
478,81.123709ms
479,19.921360462s
480,12.386076989s
481,5.27198277s
482,14.030820758s
483,10.233474101s
484,28.633953911s
485,24.299763575s
486,17.714359036s
487,21.605771435s
488,20.870920219s
489,4.350931818s
490,8.438955129s
491,2.481110424s
492,20.902609493s
493,10.653354287s
494,11.37554304s
495,18.290809648s
496,477.943949ms
497,33.873023277s
498,49.74669861s
499,44.16172394s
500,5.031323194s
501,2.736727712s
502,28.059858779s
503,1.69582565s
504,15.088898478s
505,44.648633605s
506,684.663324ms
507,26.613109462s
508,22.782251539s
509,8.400749036s
510,13.997201215s
511,9.18011834s
512,5.89070322s
513,4.934675546s
514,1.04975334s
515,11.35713182s
516,251.046317ms
