block_height,elapsed_time
1,57.248486351s
2,1m8.342842362s
3,1m5.845211066s
4,28.43072574s
5,2m34.421100182s
6,2m10.540977324s
7,1m20.459455695s
8,4.85067604s
9,2.562056559s
10,2m20.048682772s
11,2m57.650896101s
12,2m43.566527504s
13,2m1.932504639s
14,4m33.321150848s
15,1m37.625505052s
16,3m8.593489092s
17,33.434165571s
18,53.941206629s
19,2m37.11786082s
20,1m32.4748931s
21,38.202854354s
22,2m12.256689581s
23,4m48.10235075s
24,1m18.774741832s
25,2m16.64204917s
26,38.61273491s
27,35.048316418s
28,2m5.537592615s
29,3.876438966s
30,53.968895397s
31,1m8.787144044s
32,3m23.677626902s
33,8.753233187s
34,16.708668082s
35,24.096309352s
36,3m16.709175222s
37,12.687199359s
38,6.406199168s
39,7.781336247s
40,40.729916876s
41,3m22.669456688s
42,3m39.486272069s
43,1m9.045654825s
44,4m45.458682073s
45,20.493105076s
46,26.749334815s
47,33.586634705s
48,2m53.698165214s
49,54.243698038s
50,2m11.133948499s
51,3.38345692s
52,1m16.320963043s
53,332.188667ms
54,33.328076694s
55,1m18.028335313s
56,17.823418393s
57,42.937664477s
58,3.130278895s
59,20.190587504s
60,2m6.771025572s
61,13.397199705s
62,5m42.366078479s
63,57.528861812s
64,1m16.611977092s
65,8.586420049s
66,3m4.669270501s
67,1m17.176547774s
68,54.811643698s
69,2m15.828796326s
70,2m16.010783624s
71,20.740093599s
72,32.321207986s
73,54.647957358s
74,31.657471044s
75,1m16.762157753s
76,1m0.180677141s
77,5m24.413986691s
78,1m25.86173507s
79,38.432050761s
80,1.595650924s
81,38.221276238s
82,1m41.194598432s
83,20.102153557s
84,27.631278778s
85,11.77919926s
86,59.427083783s
87,9.274539283s
88,29.94964455s
89,1m23.70666072s
90,54.641073586s
91,2m15.269123336s
92,3m21.075526617s
93,1m39.787975976s
94,38.51066568s
95,24.202044995s
96,1m40.878353783s
97,3m26.674362938s
98,35.786484765s
99,4m36.041291186s
100,58.707638836s
101,1m18.98004615s
102,19.0259403s
103,17.894258414s
104,2m4.696683979s
105,27.080793644s
106,2m22.962064265s
107,1m32.876408712s
108,15.737442309s
109,1m20.43451998s
110,1m5.350712525s
111,31.72886185s
112,20.662241574s
113,2m15.693362556s
114,38.117479198s
115,42.33809688s
116,38.417098163s
117,14.532689347s
118,13.808383466s
119,34.617191745s
120,55.057525276s
121,3m51.508197456s
122,1m52.147449637s
123,3m39.513826586s
124,51.44927621s
125,1m6.614432553s
126,15.611486699s
127,53.39020226s
128,4.094561535s
129,19.868195655s
130,40.075621425s
131,3m21.282622323s
132,7m24.321942889s
133,54.282358102s
134,5.360671345s
135,1m12.318713152s
136,39.735460148s
137,29.010985723s
138,1m37.009828022s
139,5m7.252006104s
140,189.881288ms
141,1.218676578s
142,29.087677774s
143,3m17.187670762s
144,24.330533849s
145,37.569057258s
146,17.72574676s
147,48.611797654s
148,14.509615092s
149,14.907250547s
150,1m14.531528689s
151,14.840289441s
152,59.576699094s
153,26.661950988s
154,32.340131195s
155,46.504864764s
156,35.665597462s
157,2.930786136s
158,2m40.310605521s
159,14.579317162s
160,41.354313242s
161,45.617487012s
162,2m36.44373833s
163,5.213717365s
164,1m42.076320097s
165,1m48.248041437s
166,2m28.640137408s
167,7m40.497745529s
168,1m50.658999492s
169,2m26.397842607s
170,6.706686981s
171,1m30.956265026s
172,6m31.805454842s
173,1m52.7392121s
174,16.334175731s
175,2m17.85673461s
176,2m15.635512935s
177,3m55.350453148s
178,2m21.460164267s
179,1m17.998277083s
180,12.331301376s
181,1m17.710935505s
182,25.785331557s
183,5m17.429932091s
184,23.713719519s
185,33.018550657s
186,9.950880744s
187,1m56.798435094s
188,11.688460522s
189,645.664479ms
190,22.607491025s
191,1m56.308364969s
192,391.018508ms
193,1m16.860285379s
194,1m9.168281917s
195,19.318676861s
196,11.820209253s
197,8.057520258s
198,23.836644549s
199,1m17.902154472s
200,2m34.480480873s
201,26.731677331s
202,1m30.973914411s
203,12.525684666s
204,13.304892347s
205,27.722620025s
206,2m29.294224666s
207,22.009352476s
208,5m13.000828003s
209,51.438042908s
210,11.767586505s
211,37.991030908s
212,1m14.309236863s
213,1m1.868306939s
214,22.043017214s
215,34.155886525s
216,4.013646847s
217,50.260089815s
218,27.690538219s
219,5m37.513701793s
220,2m44.699526427s
221,52.197529782s
222,3m24.463096926s
223,11.659807604s
224,10.294976511s
225,4m17.254663869s
226,1m52.491292898s
227,11.307121405s
228,43.414029959s
229,47.753853009s
230,1m19.670226478s
231,16.308875818s
232,53.340865452s
233,3m46.650477005s
234,42.870023353s
235,3m34.033270835s
236,4m11.625076693s
237,21.83949328s
238,2m18.018086843s
239,19.14928097s
240,2m29.960764199s
241,1m59.056173781s
242,31.711742678s
243,2m33.646877516s
244,36.6226893s
245,15.300246087s
246,1m12.224944635s
247,12.088120811s
248,1m9.00034926s
249,24.841960929s
250,11.683841723s
251,6.665076824s
252,2m17.636210482s
253,36.554989909s
254,1m3.0650283s
255,4.509682313s
256,1m56.829526215s
257,1m59.249348795s
258,52.067326953s
259,59.174021709s
260,47.832732104s
261,1m56.378244028s
