block_height,elapsed_time
1,14.763813586s
2,14.42272537s
3,11.912400805s
4,4.815496369s
5,3.164084608s
6,1.936269338s
7,8.841886993s
8,19.697421641s
9,7.373444499s
10,1m12.821889357s
11,3.395726923s
12,18.340159839s
13,8.749164212s
14,1.297511502s
15,37.968125201s
16,19.717008741s
17,8.865268335s
18,7.455802504s
19,4.377732921s
20,3.302661756s
21,15.02163482s
22,31.118795ms
23,13.213336418s
24,1.189384428s
25,18.278295365s
26,11.002909763s
27,12.671449957s
28,1.472348332s
29,16.471181655s
30,2.705321564s
31,46.843755682s
32,11.244453213s
33,18.44718041s
34,20.054859985s
35,4.403103808s
36,40.142079441s
37,17.42442877s
38,23.1417179s
39,17.295444185s
40,8.905267689s
41,9.475597413s
42,15.810520387s
43,18.276468529s
44,6.104122134s
45,44.242100997s
46,18.800794509s
47,3.380962149s
48,14.030211172s
49,8.239292417s
50,7.886506569s
51,5.878585946s
52,4.119255015s
53,22.414207763s
54,16.37586383s
55,9.995927342s
56,5.065386672s
57,852.505498ms
58,24.355659542s
59,20.099228014s
60,6.676362372s
61,8.255061167s
62,23.120078879s
63,4.746339167s
64,15.235524038s
65,1.141894486s
66,4.613348449s
67,3.786810732s
68,37.075787434s
69,1.965471698s
70,4.613273636s
71,7.400702262s
72,17.086203417s
73,7.861550175s
74,21.010645578s
75,26.278325613s
76,871.665241ms
77,4.163103804s
78,16.000380175s
79,3.849762877s
80,30.535036441s
81,13.374381103s
82,47.400191242s
83,11.188650338s
84,19.261843645s
85,9.723705573s
86,15.469887784s
87,13.89510349s
88,28.655200289s
89,6.144861546s
90,20.462461192s
91,9.990343619s
92,2.728130441s
93,637.746568ms
94,2.423546228s
95,10.226863773s
96,27.010309081s
97,38.34200275s
98,41.3000806s
99,9.312887859s
100,2.558340815s
101,36.857917321s
102,44.121269448s
103,3.704125286s
104,4.280541136s
105,15.715151212s
106,19.195136122s
107,6.170478744s
108,34.723016239s
109,9.095068638s
110,8.144489074s
111,59.716718622s
112,226.810113ms
113,684.077227ms
114,1m0.403066243s
115,2.028425751s
116,25.293529861s
117,14.276767751s
118,9.987004817s
119,9.236995647s
120,14.617596625s
121,10.1127771s
122,155.569549ms
123,34.546458477s
124,40.950583321s
125,20.339375972s
126,14.324387252s
127,15.991633035s
128,23.922885157s
129,28.064159564s
130,14.233210487s
131,5.662767973s
132,36.112746468s
133,811.33628ms
134,4.560264001s
135,17.99702814s
136,45.249025967s
137,18.346035224s
138,1m0.46063195s
139,2.778360567s
140,5.586988031s
141,8.915538505s
142,5.305488115s
143,29.079723763s
144,24.319007219s
145,16.717647747s
146,27.593030458s
147,15.595664952s
148,11.058751644s
149,803.263776ms
150,7.932023709s
151,21.862774748s
152,47.784559899s
153,15.075538353s
154,9.487273966s
155,2.686337427s
156,5.243807341s
157,14.595770217s
158,7.330473293s
159,39.348383315s
160,10.803293417s
161,4.425017411s
162,4.014547093s
163,16.018870601s
164,16.947706911s
165,6.817295879s
166,38.60925645s
167,10.341645437s
168,2.301705867s
169,17.921062852s
170,10.73389865s
171,23.754203175s
172,25.390744312s
173,9.38892386s
174,5.212186702s
175,3.465213146s
176,2.73652114s
177,4.451518158s
178,35.586847229s
179,47.710846691s
180,29.547987468s
181,18.979021481s
182,9.028677749s
183,9.684738439s
184,1m16.936401247s
185,1.694815407s
186,17.645949031s
187,1.960621215s
188,2.276641843s
189,1.808596209s
190,1m27.886741429s
191,17.577549395s
192,9.528905871s
193,24.149135138s
194,2.52451578s
195,33.57093214s
196,35.10741227s
197,23.475811441s
198,1m14.201720887s
199,5.678874433s
200,2.084545846s
201,11.671876429s
202,1.404041615s
203,2.163452778s
204,19.168953717s
205,4.326350614s
206,11.092612279s
207,21.084589965s
208,3.193373412s
209,4.054564902s
210,2.277720583s
211,37.800548585s
212,7.437017496s
213,266.615598ms
214,5.728204002s
215,15.099013404s
216,5.034384238s
217,44.177124222s
218,42.229758916s
219,15.961322103s
220,2.986690064s
221,1m29.416510366s
222,17.589204055s
223,17.144641042s
224,67.012129ms
225,10.274531922s
226,16.224604072s
227,8.596182784s
228,5.146041187s
229,14.309126074s
230,11.583602757s
231,25.873073512s
232,10.32117177s
233,3.290361915s
234,9.496786506s
235,23.519718493s
236,8.332629513s
237,15.138060629s
238,1.621975733s
239,7.167955795s
240,3.687418435s
241,8.059343334s
242,273.657652ms
243,3.767098422s
244,2.297232761s
245,1m20.45610763s
246,1.453835297s
247,1.70261691s
248,16.844670682s
249,35.079119839s
250,18.320260887s
251,21.950025287s
252,2.13992699s
253,4.692666892s
254,23.696486451s
255,1.36371488s
256,4.27052645s
257,8.594994353s
258,5.571072262s
259,2.997414493s
260,21.33806389s
261,35.97076459s
262,9.7807099s
263,4.700191979s
264,4.921206446s
265,3.337829537s
266,2.717952477s
267,35.075252088s
268,6.575376781s
269,5.290085416s
270,10.044288962s
271,36.62524107s
272,21.704222351s
273,2.644869739s
274,7.917216547s
275,1.002177812s
276,11.585263285s
277,20.626462525s
278,1.603152474s
279,55.501023495s
280,4.99120792s
281,4.087038956s
282,388.287233ms
283,4.214666172s
284,8.298789788s
285,7.888382963s
286,18.939448275s
287,31.78359161s
288,12.858090567s
289,720.217979ms
290,8.233813898s
291,30.828961462s
292,15.886204168s
293,6.201360392s
294,1.841649114s
295,5.451983224s
296,30.970730267s
297,5.885364318s
298,10.053165598s
299,16.384601206s
300,5.922450339s
301,23.896336034s
302,25.955781692s
303,1.38077431s
304,4.461346847s
305,24.687862086s
306,41.509606328s
307,4.441812419s
308,16.074008792s
309,475.514183ms
310,4.730071176s
311,7.31679758s
312,1m6.490691896s
313,14.871008956s
314,37.092791039s
315,19.570164207s
316,15.786555849s
317,49.963020718s
318,6.910256395s
319,34.213380206s
320,3.803702906s
321,9.073473518s
322,35.198327188s
323,3.02996281s
324,14.357631188s
325,686.934847ms
326,13.247059276s
327,7.474447545s
328,4.839299365s
329,6.886381564s
330,10.616604701s
331,12.78146218s
332,32.576609094s
333,13.30954334s
334,725.155625ms
335,43.19629019s
336,8.390587791s
337,13.464438284s
338,7.771579944s
339,7.080013828s
340,1.923290868s
341,112.720258ms
342,4.308976052s
343,8.904683908s
344,17.225806042s
345,14.191748213s
346,14.304050187s
347,13.5278849s
348,24.308332409s
349,981.143094ms
350,2.426307058s
351,10.880504119s
352,4.089352966s
353,8.285067028s
354,6.68484027s
355,27.643229722s
356,11.511947186s
357,3.214788959s
358,33.006571024s
359,13.382934075s
360,12.602616005s
361,12.785378591s
362,36.379498089s
363,35.713932508s
364,1.234842187s
365,121.699592ms
366,7.161334338s
367,11.202754138s
368,3.984496042s
369,2.658680538s
370,6.557293412s
371,28.078870248s
372,13.987664458s
373,7.516827711s
374,12.109955049s
375,92.714613ms
376,10.918030171s
377,124.920448ms
378,24.02794282s
379,16.801474657s
380,4.528291811s
381,18.420831911s
382,6.064634564s
383,13.19543886s
384,6.785218573s
385,4.459355297s
386,2.534691719s
387,21.124716148s
388,15.214939752s
389,475.04963ms
390,5.231441475s
391,6.324416208s
392,16.957706225s
393,1.278662027s
394,20.07641813s
395,5.162116639s
396,13.150704665s
397,24.98420173s
398,6.87017971s
399,22.669497598s
400,11.1492799s
401,20.108663741s
402,70.530612ms
403,22.600264495s
404,8.701477394s
405,17.155196143s
406,4.189549309s
407,3.929664554s
408,2.748292133s
409,55.111424773s
410,19.235154194s
411,34.229947862s
412,1.827822954s
413,21.35588694s
414,478.261842ms
415,9.495180169s
416,6.123941699s
417,7.468470479s
418,7.473485492s
419,11.852209537s
420,2.812076707s
421,1m10.437434361s
422,22.629209143s
